Dell Vostro 16 (US),"16.0"" - 1920x1200",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.91 Kg / 4.21 lb,Windows 11 Pro,Estimated battery: 6.8 - 7.3 h,26333946,"https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/notebooks/vostro-notebooks/vostro-16-5635/media-gallery/with-fpr/laptop-vostro-16-5635-gray-gallery-5.psd?fmt=pjpg&pscan=auto&scl=1&wid=4540&hei=2601&qlt=100,1&resMode=sharp2&size=4540,2601&chrss=full&imwidth=5000",V?n ph�ng
Asus ExpertBook P2451 (US),"14.0"" - 1920x1080",INTEL i3-10110U,INTEL HD Graphics 620,8 GB DDR4,128 GB - SSD,1.6 Kg / 3.53 lb,Windows 10 Home,Estimated battery: 8.4 - 9 h,20496852,https://dlcdnwebimgs.asus.com/gain/435fb37c-f18a-46ed-b5bf-f8d8d7db85b2/,V?n ph�ng
HP Pavilion Gaming 16 (US),"16.1"" - 1920x1080",INTEL i7-10750H,NVIDIA GeForce GTX 1650 Ti,8 GB DDR4,512 GB - SSD,2.34 Kg / 5.16 lb,Windows 10 Home,Estimated battery: 4 - 4.2 h,25005672,https://www.notebookcheck.net/fileadmin/Notebooks/HP/Pavilion_Gaming_16-a0242ng/HP_Gaming_16_20.JPG,Gaming
HP EliteBook 645 (US),"14.0"" - 1920x1080",AMD Ryzen 5 7530U,AMD Radeon Graphics,16 GB DDR4,512 GB - SSD,1.41 Kg / 3.1 lb,Windows 11 Pro,Estimated battery: 8.9 - 9.5 h,24908184,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08459738.png,M?ng nh?
Acer Predator Helios 16 (US),"16.0"" - 2560x1600",INTEL i7-13700HX,NVIDIA GeForce RTX 4060 90W,16 GB DDR5,1024 GB - SSD,2.7 Kg / 5.95 lb,Windows 11 Home,Estimated battery: 5.7 - 6.1 h,36228978,https://m.media-amazon.com/images/I/71SuqDPUeUL.jpg,Gaming
Asus ROG Zephyrus G15 (US),"15.6"" - 2560x1440",AMD Ryzen 9 5900HS,NVIDIA GeForce RTX 3060 95W,16 GB DDR4,512 GB - SSD,1.9 Kg / 4.19 lb,Windows 10 Home,Estimated battery: 7.1 - 7.6 h,33109362,https://nguyencongpc.vn/photos/17/Laptop-Asus-ROG-Zephyrus-G15-GA502IU-AL007T-8.JPG,Gaming
Lenovo IdeaPad L340-15 (US),"15.6"" - 1920x1080",INTEL i5-9300H,NVIDIA GeForce GTX 1650 GDDR5,8 GB DDR4,512 GB - SSD,2.19 Kg / 4.83 lb,Windows 10 Home,Estimated battery: 3.4 - 3.6 h,22105404,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjgwNDgzfGltYWdlL3BuZ3xoZTgvaGY2LzE0MzMyNjk5MTgxMDg2LnBuZ3xmOWRlZDZjMmE3NzYyNDE0NTQwNGI1MTNhZGVlMmIxODAwNTM0OGM1YzE5NjU0ZDc0NzY4ODE5MTQyNzQ0Y2Vm/lenovo-ideapad-l340-15-gaming-hero-1126.png,V?n ph�ng
Tongfang GK5NR0V (US),"15.6"" - 1920x1080",AMD Ryzen 7 4800H,NVIDIA GeForce RTX 2060,16 GB DDR4,512 GB - SSD,1.95 Kg / 4.3 lb,Windows 10 Home,Estimated battery: 4.7 - 5.1 h,30050676,https://www.gpucheck.com/static/laptop_img/t_3176_1.jpg,Gaming
HP Spectre x360 16t (US),"16.0"" - 3072x1920",INTEL i7-12700H,INTEL Iris Xe G7 96 EU,16 GB DDR4,1024 GB - SSD,2.02 Kg / 4.45 lb,Windows 11 Home,Estimated battery: 6.5 - 6.9 h,32890014,https://s.yimg.com/uu/api/res/1.2/Hyei11SmcMXx5fs5pvNtmw--~B/aD0xMzQ2O3c9MjAwMDthcHBpZD15dGFjaHlvbg--/https://media-mbst-pub-ue1.s3.amazonaws.com/creatr-uploaded-images/2022-02/4c84e640-8dc3-11ec-9eef-cc136156c77e.cf.jpg,V?n ph�ng
Clevo NP50 (US),"15.6"" - 1920x1080",INTEL i7-12700H,NVIDIA GeForce RTX 3050 Ti 75W,16 GB DDR4,512 GB - SSD,1.99 Kg / 4.39 lb,Windows 11 Home,Estimated battery: 4.1 - 4.4 h,29209842,https://clevo-computer.com/media/image/19/af/f1/CLEVO-NP50RNJS-15-6-FHD-144Hz-INTEL-i9-13900H-NVIDIA-RTX-3050-1_1280x1280.jpg,Gaming
Asus VivoBook Pro 16 OLED (US),"16.0"" - 3200x2000",INTEL i9-13900H,NVIDIA GeForce RTX 4050 105W,16 GB DDR4,1024 GB - SSD,1.9 Kg / 4.19 lb,Windows 11 Home,Estimated battery: 3.8 - 4.1 h,37727856,"https://m.media-amazon.com/images/I/718CUtlCqTL._AC_UF894,1000_QL80_.jpg",Gaming
HP EliteBook 1040 (US),"14.0"" - 1920x1200",INTEL i5-1235U,INTEL Iris Xe 80 EU,16 GB DDR5,256 GB - SSD,1.16 Kg / 2.55 lb,Windows 11 Pro,Estimated battery: 6.6 - 7.1 h,25566228,https://support.hp.com/doc-images/229/c06994775.png,M?ng nh?
Samsung Galaxy Book Pro 15 (US),"15.6"" - 1920x1080",INTEL i5-1135G7,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.79 Kg / 3.95 lb,Windows 11 Home,Estimated battery: 7.9 - 8.4 h,26809200,https://bizweb.dktcdn.net/100/378/807/products/7054-galaxy-book-pro-1-navy.jpg?v=1658714871727,V?n ph�ng
Asus TUF FX505 (US),"15.6"" - 1920x1080",AMD Ryzen 7 3750H,NVIDIA GeForce RTX 2060,16 GB DDR4,512 GB - SSD,2.3 Kg / 5.07 lb,Windows 10 Home,Estimated battery: 4.1 - 4.4 h,26882316,https://bizweb.dktcdn.net/thumb/1024x1024/100/408/235/products/syasbq131t-asus-15-6-tuf-gaming-laptop-fx505.jpg?v=1606361754977,Gaming
Dell Vostro 16 (US),"16.0"" - 1920x1200",INTEL i7-12700H,NVIDIA GeForce RTX 3050 Ti,24 GB DDR5,1024 GB - SSD,2.02 Kg / 4.45 lb,Windows 11 Pro,Estimated battery: 5.1 - 5.5 h,34656984,https://hanoicomputercdn.com/media/product/73182_laptop_dell_vostro_16_5630__tht7n___2_.jpg,Gaming
MSI Workstation WF66 (US),"15.6"" - 1920x1080",INTEL i7-11800H,NVIDIA Quadro RTX A2000,16 GB DDR4,1024 GB - SSD,2.1 Kg / 4.63 lb,Windows 10 Pro,Estimated battery: 3.9 - 4.2 h,28868634,https://asset.msi.com/resize/image/global/product/product_16226197406129fb8cb53cd4117c41c45178f4671e.png62405b38c58fe0f07fcef2367d8a9ba1/400.png,"?? ho?, k? thu?t"
HP Omen 16z (US),"16.1"" - 1920x1080",AMD Ryzen 7 6800H,NVIDIA GeForce RTX 3060,32 GB DDR5,512 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 4.9 - 5.2 h,33109362,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08385813.png,Gaming
Clevo NH58 (US),"15.6"" - 1920x1080",INTEL i5-11260H,NVIDIA GeForce RTX 3050 Ti 75W,16 GB DDR4,1512 GB - SSD + HDD,2.2 Kg / 4.85 lb,Windows 10 Pro,Estimated battery: 3.4 - 3.7 h,28454310,https://www.gpucheck.com/static/laptop_img/t_1911_1.jpg,Gaming
HP Omen 15z (US),"15.6"" - 1920x1080",AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3060 80W,8 GB DDR4,512 GB - SSD,2.46 Kg / 5.43 lb,Windows 10 Home,Estimated battery: 4.9 - 5.2 h,31086486,https://laptoping.com/specs/wp-content/uploads/2020/11/HP-Omen-15z-en000-Laptop.jpg,Gaming
Lenovo ThinkPad P15v (US),"15.6"" - 1920x1080",INTEL i7-11800H,NVIDIA Quadro T600,16 GB DDR4,512 GB - SSD,2.07 Kg / 4.56 lb,Windows 10 Pro,Estimated battery: 5.1 - 5.5 h,31854204,https://p2-ofp.static.pub/fes/cms/2022/08/12/nh63inklfeo12331a5wmacn1raw7p8212028.png,"?? ho?, k? thu?t"
Lenovo ThinkPad P14s (US),"14.0"" - 1920x1200",INTEL i5-1340P,INTEL Iris Xe 80 EU,16 GB DDR5,512 GB - SSD,1.38 Kg / 3.04 lb,Windows 11 Pro,Estimated battery: 6.7 - 7.2 h,28503054,https://p1-ofp.static.pub/medias/25707616430_ThinkPadP14sGen4ThunderBlack_202303291126091685434374436.png,M?ng nh?
Asus ZenBook Duo UX482 (US),"14.0"" - 1920x1080",INTEL i7-1195G7,INTEL Iris Xe G7 96 EU,8 GB DDR4,512 GB - SSD,1.58 Kg / 3.48 lb,Windows 10 Home,Estimated battery: 8.5 - 9.2 h,26809200,"https://m.media-amazon.com/images/I/91We5MfKUNL._AC_UF894,1000_QL80_.jpg",V?n ph�ng
Lenovo IdeaPad Slim 5 (US),"16.0"" - 1920x1200",INTEL i7-1355U,INTEL Iris Xe 96 EU,16 GB DDR5,1024 GB - SSD,1.89 Kg / 4.17 lb,Windows 11 Home,Estimated battery: 4.7 - 5.1 h,22178520,https://p1-ofp.static.pub/medias/25521610857_IdeaPadSlim516ABR8AbyssBlueMetalFPRIMG_202212071055041676897435969.png,V?n ph�ng
Lenovo ThinkPad P1 (US),"16.0"" - 3840x2400",INTEL i7-11800H,NVIDIA Quadro RTX A2000 35W,32 GB DDR4,1024 GB - SSD,1.86 Kg / 4.1 lb,Windows 10 Pro,Estimated battery: 5.6 - 6 h,40189428,https://p1-ofp.static.pub/medias/25783239751_Thinkpad_P1_Gen6_CX_202304250345351683231433216.png,"?? ho?, k? thu?t"
Lenovo ThinkPad P16s (US),"16.0"" - 1920x1200",INTEL i7-1370P,INTEL Iris Xe 96 EU,16 GB DDR5,512 GB - SSD,3.83 Kg / 8.44 lb,Windows 11 Pro,Estimated battery: 10.8 - 11.6 h,34084242,https://p4-ofp.static.pub/fes/cms/2022/05/06/jd9jgb2t5klpele843ctbsll8ivbmp979413.png,V?n ph�ng
Samsung Galaxy Book 15 (US),"15.6"" - 1920x1080",INTEL i7-1355U,INTEL Iris Xe 96 EU,16 GB DDR5,512 GB - SSD,1.6 Kg / 3.53 lb,Windows 11 Home,Estimated battery: 4.6 - 4.9 h,20594340,https://image-us.samsung.com/SamsungUS/samsungbusiness/computing/windows-laptops/galaxy-books/galaxy-book-15/gallery/Titan15_WiFi_Silver_004_R-Perspective_US_Gallery_1600x1200.jpg?$product-details-jpg$,V?n ph�ng
Corsair Voyager (US),"16.0"" - 2560x1600",AMD Ryzen 9 6900HS,AMD Radeon RX 6800M,32 GB DDR5,2048 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 2.5 - 2.7 h,41420214,https://www.corsair.com/wp-content/uploads/2022/05/CORSAIR_VOYAGER_RENDER_02-1536x992.png,Gaming
Lenovo ThinkPad P15 (US),"15.6"" - 3840x2160",INTEL i7-10750H,INTEL HD Graphics 630,16 GB DDR4,512 GB - SSD,2.74 Kg / 6.04 lb,Windows 10 Pro,Estimated battery: 7.2 - 7.8 h,36558000,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjk4MDU5fGltYWdlL3BuZ3xoNzUvaGZmLzE0MzMxODQyNzU2NjM4LnBuZ3wzNmFjNWQzYTdlZTYxZGQ2ZGRhMDJkZmQ3NTc5ZWY5MDY2OTY3YmE2YTc4YWU5MmJlZDM0Mzg4MmE3M2Y2NDk0/lenovo-laptop-workstation-thinkpad-p15-15-subseries-hero.png,V?n ph�ng
Gigabyte Aero 14 OLED (US),"14.0"" - 2880x1800",INTEL i7-13700H,NVIDIA GeForce RTX 4050 90W,16 GB DDR5,1024 GB - SSD,1.49 Kg / 3.28 lb,Windows 11 Pro,Estimated battery: 2.8 - 3 h,36521442,https://www.gigabyte.com/FileUpload/Global/KeyFeature/2314/innergigabyteimages/mux3.png,"?? ho?, k? thu?t"
Asus ZenBook 14X OLED UX5400 (US),"14.0"" - 2880x1800",INTEL i7-1165G7,NVIDIA GeForce MX450 25W GDDR5,16 GB DDR4,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Pro,Estimated battery: 5.6 - 6 h,32390388,https://dlcdnwebimgs.asus.com/gain/f1ef7415-3f55-4ccf-b194-24e8d4f0f383/,V?n ph�ng
Samsung Galaxy Book 3 Pro 14 (US),"14.0"" - 2880x1800",INTEL i7-1360P,INTEL Iris Xe 96 EU,16 GB DDR5,512 GB - SSD,1.17 Kg / 2.58 lb,Windows 11 Home,Estimated battery: 7.1 - 7.6 h,31647042,"https://m.media-amazon.com/images/I/61oTh3Oun5L._AC_UF894,1000_QL80_.jpg",V?n ph�ng
Asus ROG Strix G16 (US),"16.0"" - 2560x1600",INTEL i9-13980HX,NVIDIA GeForce RTX 4050 140W,16 GB DDR5,1024 GB - SSD,2.5 Kg / 5.51 lb,Windows 11 Home,Estimated battery: 2.9 - 3.1 h,38958642,https://dlcdnwebimgs.asus.com/gain/14730014-9B03-4369-83EE-B668F348B5AA/w250,Gaming
Lenovo Yoga 9 14 (US),"14.0"" - 2880x1800",INTEL i7-1360P,INTEL Iris Xe 96 EU,16 GB DDR5,512 GB - SSD,1.4 Kg / 3.09 lb,Windows 11 Home,Estimated battery: 8 - 8.6 h,34120800,https://th.bing.com/th/id/R.d151918d9e48c575aa2d564afad6ffd8?rik=OoRPZY%2fDNPZaUQ&pid=ImgRaw&r=0,M?ng nh?
MSI Creator 15 (US),"15.6"" - 3840x2160",INTEL i7-11800H,NVIDIA GeForce RTX 3060 95W,16 GB DDR4,512 GB - SSD,2.1 Kg / 4.62 lb,Windows 11 Pro,Estimated battery: 6.5 - 7 h,41395842,https://m.media-amazon.com/images/I/81cu55Vg0bL.jpg,Gaming
MSI Prestige 16 Evo (US),"16.0"" - 2560x1600",INTEL i7-13700H,INTEL Iris Xe 96 EU,32 GB DDR5,1024 GB - SSD,1.9 Kg / 4.19 lb,Windows 11 Home,Estimated battery: 7.2 - 7.7 h,33864894,https://m.media-amazon.com/images/I/718lGSASS0L.jpg,V?n ph�ng
MSI Raider GE68HX (US),"16.0"" - 1920x1200",INTEL i9-13950HX,NVIDIA GeForce RTX 4060 140W,32 GB DDR5,1024 GB - SSD,2.7 Kg / 5.95 lb,Windows 11 Home,Estimated battery: 3.3 - 3.6 h,41395842,https://prod.scorptec.com.au/21/1032/101712/286849_large.jpg,Gaming
Asus ZenBook Pro 15 UM535 (US),"15.6"" - 1920x1080",AMD Ryzen 9 5900HX,NVIDIA GeForce RTX 3050 Ti,16 GB DDR4,1024 GB - SSD,2 Kg / 4.41 lb,Windows 11 Pro,Estimated battery: 6.4 - 6.9 h,35814654,"https://m.media-amazon.com/images/I/71dcPsygRhL._AC_UF894,1000_QL80_.jpg",Gaming
Asus ROG Zephyrus M16 (US),"16.0"" - 1920x1200",INTEL i7-12700H,NVIDIA GeForce RTX 3060 120W,16 GB DDR5,512 GB - SSD,1.9 Kg / 4.19 lb,Windows 11 Home,Estimated battery: 6.7 - 7.2 h,38714922,https://dlcdnwebimgs.asus.com/gain/1B8BFF75-43FC-4D5E-9B77-A8015A23B198/w250,Gaming
HP Zbook Power 15 (US),"15.6"" - 1920x1080",INTEL i7-12800H,NVIDIA Quadro T600,16 GB DDR5,512 GB - SSD,1.93 Kg / 4.25 lb,Windows 11 Pro,Estimated battery: 6.3 - 6.7 h,35546562,https://laptop365.vn/pic/product/images/c08145533-Laptop365.png,"?? ho?, k? thu?t"
Asus VivoBook Pro 16X K6604 (US),"16.0"" - 3200x2000",INTEL i9-13980HX,NVIDIA GeForce RTX 4060 120W,16 GB DDR5,1024 GB - SSD,1.9 Kg / 4.19 lb,Windows 11 Home,Estimated battery: 3.1 - 3.4 h,43869600,https://dlcdnwebimgs.asus.com/gain/f2269880-0d59-471f-a9b2-099e7cc5c0d2/,Gaming
Acer Predator Triton 300 PT315 (US),"15.6"" - 1920x1080",INTEL i7-11800H,NVIDIA GeForce RTX 3060 105W,16 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Home,Estimated battery: 4.4 - 4.8 h,35315028,"https://static-ecpa.acer.com/media/catalog/product/t/r/triton-300-pt315-53-bl-bk-modelmain_1.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",Gaming
Dell Alienware m15 (US),"15.6"" - 2560x1440",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti,16 GB DDR5,512 GB - SSD,2.69 Kg / 5.93 lb,Windows 11 Home,Estimated battery: 6.1 - 6.5 h,40250358,https://laptopgaumeo.vn/uploads/images/san-pham/alienware-m15-r3/alienware-m15-r3-2020.jpg,Gaming
Asus Expertbook B2 B2502 (US),"15.6"" - 1920x1080",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.75 Kg / 3.86 lb,Windows 11 Pro,Estimated battery: 6.2 - 6.6 h,28137474,https://dlcdnwebimgs.asus.com/gain/ec025845-510d-4f0b-8e16-7a83d34f03cb/w328,V?n ph�ng
Asus ROG Zephyrus G16 (US),"16.0"" - 1920x1200",INTEL i7-13620H,NVIDIA GeForce RTX 4060 120W,16 GB DDR4,512 GB - SSD,2 Kg / 4.41 lb,Windows 11 Pro,Estimated battery: 6.7 - 7.2 h,37752228,https://laptopre.vn/storage/photos/1/ASUS/asus-rog-zephyrus-g16-gu603-2023/asus-rog-zephyrus-g16-gu603-2023-hieu-nang.png,Gaming
Lenovo Legion Slim 7 16 (US),"16.0"" - 1920x1200",INTEL i7-12700H,NVIDIA GeForce RTX 3060 100W,16 GB DDR5,512 GB - SSD,2.23 Kg / 4.92 lb,Windows 11 Pro,Estimated battery: 7.5 - 8 h,40615938,https://p1-ofp.static.pub/medias/24404921135_LegionSlim716IAH7OnyxGrey_202204181100331666480266438.png,Gaming
MSI Summit E14 (US),"14.0"" - 3840x2160",INTEL i7-1185G7,NVIDIA GeForce GTX 1650 Ti Max-Q,16 GB DDR4,1024 GB - SSD,1.29 Kg / 2.84 lb,Windows 10 Home,Estimated battery: 3.9 - 4.2 h,33840522,https://www.bhphotovideo.com/images/images2500x2500/msi_summit_e14flipevo_a13mt_268us_14_summit_e14_flip_1746082.jpg,M?ng nh?
MSI Gaming Stealth GS66 (US),"15.6"" - 1920x1080",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti 105W,16 GB DDR4,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Pro,Estimated battery: 7.5 - 8.1 h,42882534,https://asset.msi.com/resize/image/global/product/product_164730247617039c3f1bd7445f8f53e96cd736bf7d.png62405b38c58fe0f07fcef2367d8a9ba1/1024.png,Gaming
Asus ZenBook Pro Duo 15 (US),"15.6"" - 3840x2160",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti,16 GB DDR5,1024 GB - SSD,2.34 Kg / 5.16 lb,Windows 11 Home,Estimated battery: 5.8 - 6.2 h,43869600,https://dlcdnwebimgs.asus.com/gain/0c9c1e29-635b-4273-92af-eae757c3389f/,Gaming
Lenovo LOQ 16 (US),"16.0"" - 1920x1200",INTEL i7-13700H,NVIDIA GeForce RTX 4060 115W,32 GB DDR5,1024 GB - SSD,2.6 Kg / 5.73 lb,Windows 11 Home,Estimated battery: 2.4 - 2.5 h,35790282,https://p1-ofp.static.pub/fes/cms/2023/04/25/2fijrqrr7qn9tpiensgm54qouw62oa698901.png,Gaming
MSI Raider GE66 (US),"15.6"" - 2560x1440",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti 150W,32 GB DDR5,1024 GB - SSD,2.38 Kg / 5.25 lb,Windows 11 Pro,Estimated battery: 7.1 - 7.6 h,45173502,https://anphat.com.vn/media/product/40536_laptop_msi_raider_ge66_12ugs_405vn__1_.jpg,Gaming
Lenovo ThinkPad T16 (US),"16.0"" - 1920x1200",INTEL i7-1270P,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.65 Kg / 3.64 lb,Windows 11 Pro,Estimated battery: 6.1 - 6.5 h,30818394,https://p2-ofp.static.pub/ShareResource/na/subseries/hero/lenovo-thinkpad-t16-16inch-intel-black.png,V?n ph�ng
Samsung Galaxy Book 3 Pro 16 (US),"16.0"" - 2880x1800",INTEL i7-1360P,INTEL Iris Xe 96 EU,16 GB DDR5,1024 GB - SSD,1.56 Kg / 3.44 lb,Windows 11 Home,Estimated battery: 8.5 - 9.1 h,34608240,https://laptop365.vn/pic/product/laptop365-10_638165751972891934.png,V?n ph�ng
Dell Alienware x14 (US),"14.0"" - 1920x1080",INTEL i7-12700H,NVIDIA GeForce RTX 3060,16 GB DDR5,1024 GB - SSD,1.84 Kg / 4.06 lb,Windows 11 Home,Estimated battery: 4.8 - 5.1 h,38995200,https://www.backmarket.com/cdn-cgi/image/format%3Dauto%2Cquality%3D75%2Cwidth%3D260/https://d28i4xct2kl5lp.cloudfront.net/product_images/None_36c0ca21-2e1c-4d53-9c16-0dbf1d196a1b.jpg,Gaming
Asus VivoBook S14 Flip OLED TP3402 (US),"14.0"" - 1920x1080",INTEL i5-12500H,INTEL Iris Xe G7 80 EU,8 GB DDR4,512 GB - SSD,1.5 Kg / 3.31 lb,Windows 11 Home,Estimated battery: 6.5 - 7 h,29112354,https://dlcdnwebimgs.asus.com/gain/9f4c06b3-38be-4314-989d-0881ff9ada6c/,V?n ph�ng
Lenovo ThinkBook 14s Yoga G2 (US),"14.0"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,16 GB DDR4,256 GB - SSD,1.5 Kg / 3.31 lb,Windows 11 Pro,Estimated battery: 4.9 - 5.3 h,28003428,https://cdn-amz.woka.io/images/I/51qMIB8-gYL.jpg,M?ng nh?
HP Omen 16 (US),"16.1"" - 1920x1080",AMD Ryzen 7 5800H,NVIDIA GeForce RTX 3050 Ti,16 GB DDR4,512 GB - SSD,2.3 Kg / 5.07 lb,Windows 11 Home,Estimated battery: 4.8 - 5.1 h,33353082,https://www.omen.com/content/dam/sites/omen/worldwide/laptops/2022-omen-16-intel/Hero%20Image%201.png,Gaming
Dell XPS 15 (US),"15.6"" - 1920x1200",INTEL i7-12700H,NVIDIA GeForce RTX 3050 75W,16 GB DDR5,512 GB - SSD,2.1 Kg / 4.63 lb,Windows 11 Pro,Estimated battery: 6.4 - 6.9 h,37861902,https://www.notebookcheck.net/fileadmin/_processed_/b/0/csm_Dell_XPS_15_5_9979eb948c.jpg,Gaming
Asus ZenBook 15 OLED UM3504 (US),"15.6"" - 1920x1080",AMD Ryzen 7 7735U,AMD Radeon 680M,16 GB DDR5,512 GB - SSD,1.5 Kg / 3.31 lb,Windows 11 Home,Estimated battery: 8.6 - 9.2 h,28478682,https://dlcdnwebimgs.asus.com/gain/1d77f502-2f39-4a2d-91d0-e924c82a9915/,V?n ph�ng
Samsung Galaxy Book Pro 360 15 (US),"15.6"" - 1920x1080",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,8 GB DDR4,512 GB - SSD,1.39 Kg / 3.06 lb,Windows 11 Home,Estimated battery: 7.6 - 8.2 h,31683600,https://image-us.samsung.com/SamsungUS/home/home-appliances/5252022/Gallery_Images_GBPro36015_WiFi_Navy_029_Front-Win11_US.jpg?$product-details-jpg$,V?n ph�ng
Lenovo ThinkPad T15g (US),"15.6"" - 1920x1080",INTEL i7-10850H,NVIDIA GeForce RTX 2080 SUPER Max-Q,16 GB DDR4,512 GB - SSD,2.74 Kg / 6.04 lb,Windows 10 Pro,Estimated battery: 7.1 - 7.6 h,42139188,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MzEwMDU3fGltYWdlL3BuZ3xoMzgvaGZkLzE0Mjg2MDk1NzEyMjg2LnBuZ3xjOGFhZmY1YmZjMjcxZjYxNGNiYTdhZDU1NTY3YWY3MjBmYmNlYjk0MGQzZmRjZDA1YzE2NjMyN2ViMzQ0MjQx/lenovo-laptop-thinkpad-t15g-hero.png,Gaming
Asus ROG Strix Scar 15 (US),"15.6"" - 2560x1440",INTEL i9-12900H,NVIDIA GeForce RTX 3070 Ti,16 GB DDR5,1024 GB - SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 3.7 - 3.9 h,41152122,https://www.tncstore.vn/image/cache/catalog/laptop/asus/Scar%2015%20G533/laptop-asus-rog-scar-g15-g533-01-500x500.png,Gaming
Getac S410 (US),"14.0"" - 1920x1080",INTEL i3-8145U,INTEL HD Graphics 620,4 GB DDR4,256 GB - SSD,2.7 Kg / 5.95 lb,Windows 10 Pro,Estimated battery: 7.5 - 8 h,28015614,https://www.getac.com/uploads/2023/04/S410G4_03-5.png,V?n ph�ng
Asus ROG Strix Scar 15 (US),"15.6"" - 1920x1080",AMD Ryzen 9 5900HX,NVIDIA GeForce RTX 3080 130W,16 GB DDR4,1024 GB - SSD,2.49 Kg / 5.5 lb,Windows 10 Home,Estimated battery: 6.2 - 6.6 h,41432400,https://m.media-amazon.com/images/I/71RK6+rx-xL.jpg,Gaming
MSI Stealth 14 Studio (US),"14.0"" - 1920x1200",INTEL i7-13620H,NVIDIA GeForce RTX 4060 90W,32 GB DDR5,1024 GB - SSD,1.7 Kg / 3.75 lb,Windows 11 Pro,Estimated battery: 3.3 - 3.5 h,41432400,https://storage-asset.msi.com/global/picture/image/feature/nb/2022_RPL/stealth_14_A13/msi-stealth14-kv-white.png,"?? ho?, k? thu?t"
HP Pavilion x360 15t (US),"15.6"" - 1920x1080",INTEL i5-1235U,INTEL Iris Xe 80 EU,12 GB DDR4,256 GB - SSD,1.8 Kg / 3.97 lb,Windows 11 Home,Estimated battery: 3.5 - 3.7 h,21873870,https://ssl-product-images.www8-hp.com/digmedialib/prodimg/lowres/c08357779.png,V?n ph�ng
Acer TravelMate P6 TMP614 (US),"14.0"" - 1920x1200",INTEL i7-1165G7,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1 Kg / 2.2 lb,Windows 10 Pro,Estimated battery: 7.2 - 7.7 h,28673658,"https://static-ecpa.acer.com/media/catalog/product/t/r/travelmate-p6-p614-51-g2-51g-g2-51t-g2-51tg-g2-ir-camera-modelmain_1.png?optimize=high&bg-color=255,255,255&fit=bounds&height=500&width=500&canvas=500:500&format=jpeg",M?ng nh?
Asus ROG Zephyrus GU502 (US),"15.6"" - 1920x1080",INTEL i7-9750H,NVIDIA GeForce GTX 1660 Ti,16 GB DDR4,512 GB - SSD,1.9 Kg / 4.19 lb,Windows 10 Pro,Estimated battery: 5.7 - 6.2 h,35327214,https://dlcdnrog.asus.com/rog/media/1565835003251.webp,Gaming
Lenovo ThinkPad C14 (US),"14.0"" - 1920x1080",INTEL i5-1245U,INTEL Iris Xe 80 EU,8 GB DDR4,256 GB - SSD,1.56 Kg / 3.44 lb,Chrome OS,Estimated battery: 4.9 - 5.2 h,24615720,https://p1-ofp.static.pub/fes/cms/2022/07/18/jbxy0f0frufaoqya2p6w3d91pcx1l2051385.png,V?n ph�ng
Dynabook Tecra A50 (US),"15.6"" - 1920x1080",INTEL i7-1260P,INTEL Iris Xe G7 96 EU,16 GB DDR4,512 GB - SSD,1.65 Kg / 3.64 lb,Windows 10 Pro,Estimated battery: 6.8 - 7.3 h,31732344,https://us.dynabook.com/images/products/600/Tecra_A50-K00008.png,V?n ph�ng
Asus ProArt Studiobook 16 H7600 (US),"16.0"" - 3840x2400",INTEL i7-12700H,NVIDIA GeForce RTX 3070 Ti 105W,16 GB DDR5,2048 GB - SSD + SSD,2.4 Kg / 5.29 lb,Windows 11 Home,Estimated battery: 5.6 - 6 h,49207068,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6486/6486645_sd.jpg,Gaming
